dataset,size,count,percent_of_leaves,covered_points
Wiki-1M,93,92,0.560599598,8556
Wiki-1M,94,106,0.645908232,9964
Wiki-1M,95,116,0.706842971,11020
Wiki-1M,96,142,0.865273292,13632
Wiki-1M,97,118,0.719029919,11446
Wiki-1M,98,110,0.670282128,10780
Wiki-1M,99,117,0.712936445,11583
Wiki-1M,100,120,0.731216867,12000
Wiki-1M,101,128,0.779964658,12928
Wiki-1M,102,118,0.719029919,12036
Wiki-1M,103,117,0.712936445,12051
Wiki-1M,104,123,0.749497288,12792
Wiki-1M,105,120,0.731216867,12600
Wiki-1M,106,95,0.578880019,10070
Wiki-1M,107,108,0.658095180,11556
Wiki-1M,108,116,0.706842971,12528
Wiki-1M,109,99,0.603253915,10791
Wiki-1M,110,116,0.706842971,12760
Wiki-1M,111,115,0.700749497,12765
Wiki-1M,112,114,0.694656023,12768
Wiki-1M,113,102,0.621534337,11526
Wiki-1M,114,115,0.700749497,13110
Wiki-1M,115,118,0.719029919,13570
Wiki-1M,116,103,0.627627811,11948
Wiki-1M,117,120,0.731216867,14040
Wiki-1M,118,120,0.731216867,14160
Wiki-1M,119,124,0.755590762,14756
Wiki-1M,120,121,0.737310341,14520
Wiki-1M,121,134,0.816525501,16214
Wiki-1M,122,136,0.828712449,16592
Wiki-1M,123,138,0.840899397,16974
Wiki-1M,124,125,0.761684236,15500
Wiki-1M,125,115,0.700749497,14375
Wiki-1M,126,122,0.743403815,15372
Wiki-1M,127,111,0.676375602,14097
Wiki-1M,128,129,0.786058132,16512
OpenAI-2M,1,81,0.240099597,81
OpenAI-2M,2,103,0.305311833,206
OpenAI-2M,3,104,0.308276026,312
OpenAI-2M,4,160,0.474270809,640
OpenAI-2M,5,134,0.397201802,670
OpenAI-2M,6,163,0.483163386,978
OpenAI-2M,7,188,0.557268200,1316
OpenAI-2M,8,159,0.471306616,1272
OpenAI-2M,9,177,0.524662082,1593
OpenAI-2M,10,203,0.601731088,2030
OpenAI-2M,11,185,0.548375622,2035
OpenAI-2M,12,198,0.586910126,2376
OpenAI-2M,13,195,0.578017548,2535
OpenAI-2M,14,213,0.631373014,2982
OpenAI-2M,15,221,0.655086554,3315
OpenAI-2M,16,206,0.610623666,3296
OpenAI-2M,17,216,0.640265592,3672
OpenAI-2M,18,234,0.693621058,4212
OpenAI-2M,19,228,0.675835902,4332
OpenAI-2M,20,243,0.720298791,4860
OpenAI-2M,21,216,0.640265592,4536
OpenAI-2M,22,233,0.690656865,5126
OpenAI-2M,23,233,0.690656865,5359
OpenAI-2M,24,245,0.726227176,5880
OpenAI-2M,25,264,0.782546834,6600
OpenAI-2M,26,255,0.755869101,6630
OpenAI-2M,27,228,0.675835902,6156
OpenAI-2M,28,230,0.681764287,6440
OpenAI-2M,29,256,0.758833294,7424
OpenAI-2M,30,268,0.794403604,8040
OpenAI-2M,31,241,0.714370406,7471
OpenAI-2M,32,243,0.720298791,7776
OpenAI-2M,33,257,0.761797486,8481
OpenAI-2M,34,253,0.749940716,8602
OpenAI-2M,35,257,0.761797486,8995
OpenAI-2M,36,259,0.767725871,9324
OpenAI-2M,37,285,0.844794878,10545
OpenAI-2M,38,274,0.812188760,10412
OpenAI-2M,39,282,0.835902300,10998
OpenAI-2M,40,251,0.744012331,10040
OpenAI-2M,41,248,0.735119753,10168
OpenAI-2M,42,275,0.815152952,11550
OpenAI-2M,43,228,0.675835902,9804
OpenAI-2M,44,297,0.880365189,13068
OpenAI-2M,45,262,0.776618449,11790
OpenAI-2M,46,268,0.794403604,12328
OpenAI-2M,47,269,0.797367797,12643
OpenAI-2M,48,306,0.907042922,14688
OpenAI-2M,49,284,0.841830685,13916
OpenAI-2M,50,274,0.812188760,13700
OpenAI-2M,51,284,0.841830685,14484
OpenAI-2M,52,310,0.918899692,16120
OpenAI-2M,53,282,0.835902300,14946
OpenAI-2M,54,298,0.883329381,16092
OpenAI-2M,55,268,0.794403604,14740
OpenAI-2M,56,290,0.859615841,16240
OpenAI-2M,57,283,0.838866493,16131
OpenAI-2M,58,286,0.847759070,16588
OpenAI-2M,59,297,0.880365189,17523
OpenAI-2M,60,251,0.744012331,15060
OpenAI-2M,61,295,0.874436803,17995
OpenAI-2M,62,291,0.862580033,18042
OpenAI-2M,63,290,0.859615841,18270
OpenAI-2M,64,260,0.770690064,16640
OpenAI-2M,65,295,0.874436803,19175
OpenAI-2M,66,269,0.797367797,17754
OpenAI-2M,67,296,0.877400996,19832
OpenAI-2M,68,323,0.957434195,21964
OpenAI-2M,69,284,0.841830685,19596
OpenAI-2M,70,295,0.874436803,20650
OpenAI-2M,71,277,0.821081337,19667
OpenAI-2M,72,300,0.889257766,21600
OpenAI-2M,73,274,0.812188760,20002
OpenAI-2M,74,312,0.924828077,23088
OpenAI-2M,75,329,0.975219350,24675
OpenAI-2M,76,278,0.824045530,21128
OpenAI-2M,77,287,0.850723263,22099
OpenAI-2M,78,283,0.838866493,22074
OpenAI-2M,79,273,0.809224567,21567
OpenAI-2M,80,280,0.829973915,22400
OpenAI-2M,81,264,0.782546834,21384
OpenAI-2M,82,296,0.877400996,24272
OpenAI-2M,83,296,0.877400996,24568
OpenAI-2M,84,277,0.821081337,23268
OpenAI-2M,85,312,0.924828077,26520
OpenAI-2M,86,289,0.856651648,24854
OpenAI-2M,87,298,0.883329381,25926
OpenAI-2M,88,323,0.957434195,28424
OpenAI-2M,89,297,0.880365189,26433
OpenAI-2M,90,293,0.868508418,26370
OpenAI-2M,91,292,0.865544226,26572
OpenAI-2M,92,296,0.877400996,27232
OpenAI-2M,93,283,0.838866493,26319
OpenAI-2M,94,280,0.829973915,26320
OpenAI-2M,95,335,0.993004506,31825
OpenAI-2M,96,250,0.741048138,24000
OpenAI-2M,97,256,0.758833294,24832
OpenAI-2M,98,283,0.838866493,27734
OpenAI-2M,99,298,0.883329381,29502
OpenAI-2M,100,289,0.856651648,28900
OpenAI-2M,101,279,0.827009723,28179
OpenAI-2M,102,317,0.939649040,32334
OpenAI-2M,103,315,0.933720654,32445
OpenAI-2M,104,262,0.776618449,27248
OpenAI-2M,105,273,0.809224567,28665
OpenAI-2M,106,306,0.907042922,32436
OpenAI-2M,107,261,0.773654257,27927
OpenAI-2M,108,267,0.791439412,28836
OpenAI-2M,109,260,0.770690064,28340
OpenAI-2M,110,276,0.818117145,30360
OpenAI-2M,111,292,0.865544226,32412
OpenAI-2M,112,299,0.886293574,33488
OpenAI-2M,113,289,0.856651648,32657
OpenAI-2M,114,283,0.838866493,32262
OpenAI-2M,115,289,0.856651648,33235
OpenAI-2M,116,288,0.853687456,33408
OpenAI-2M,117,269,0.797367797,31473
OpenAI-2M,118,264,0.782546834,31152
OpenAI-2M,119,306,0.907042922,36414
OpenAI-2M,120,273,0.809224567,32760
OpenAI-2M,121,285,0.844794878,34485
OpenAI-2M,122,269,0.797367797,32818
OpenAI-2M,123,296,0.877400996,36408
OpenAI-2M,124,301,0.892221959,37324
OpenAI-2M,125,286,0.847759070,35750
OpenAI-2M,126,263,0.779582642,33138
OpenAI-2M,127,290,0.859615841,36830
OpenAI-2M,128,279,0.827009723,35712
YFCC-10M,1,396,0.275384391,396
YFCC-10M,2,468,0.325454280,936
YFCC-10M,3,516,0.358834206,1548
YFCC-10M,4,577,0.401254529,2308
YFCC-10M,5,606,0.421421568,3030
YFCC-10M,6,672,0.467318966,4032
YFCC-10M,7,644,0.447847342,4508
YFCC-10M,8,650,0.452019833,5200
YFCC-10M,9,724,0.503480553,6516
YFCC-10M,10,763,0.530601743,7630
YFCC-10M,11,779,0.541728385,8569
YFCC-10M,12,767,0.533383403,9204
YFCC-10M,13,789,0.548682536,10257
YFCC-10M,14,839,0.583453292,11746
YFCC-10M,15,842,0.585539538,12630
YFCC-10M,16,812,0.564677084,12992
YFCC-10M,17,892,0.620310294,15164
YFCC-10M,18,870,0.605011161,15660
YFCC-10M,19,930,0.646736069,17670
YFCC-10M,20,893,0.621005709,17860
YFCC-10M,21,946,0.657862711,19866
YFCC-10M,22,975,0.678029750,21450
YFCC-10M,23,926,0.643954409,21298
YFCC-10M,24,979,0.680811410,23496
YFCC-10M,25,927,0.644649824,23175
YFCC-10M,26,979,0.680811410,25454
YFCC-10M,27,1056,0.734358375,28512
YFCC-10M,28,1025,0.712800506,28700
YFCC-10M,29,971,0.675248089,28159
YFCC-10M,30,963,0.669684768,28890
YFCC-10M,31,983,0.683593071,30473
YFCC-10M,32,1003,0.697501373,32096
YFCC-10M,33,1044,0.726013394,34452
YFCC-10M,34,1090,0.758002490,37060
YFCC-10M,35,1118,0.777474113,39130
YFCC-10M,36,1034,0.719059242,37224
YFCC-10M,37,1081,0.751743753,39997
YFCC-10M,38,1056,0.734358375,40128
YFCC-10M,39,1158,0.805290718,45162
YFCC-10M,40,1103,0.767042886,44120
YFCC-10M,41,1092,0.759393320,44772
YFCC-10M,42,1092,0.759393320,45864
YFCC-10M,43,1206,0.838670644,51858
YFCC-10M,44,1141,0.793468661,50204
YFCC-10M,45,1146,0.796945737,51570
YFCC-10M,46,1166,0.810854039,53636
YFCC-10M,47,1197,0.832411908,56259
YFCC-10M,48,1220,0.848406456,58560
YFCC-10M,49,1175,0.817112775,57575
YFCC-10M,50,1118,0.777474113,55900
YFCC-10M,51,1268,0.881786382,64668
YFCC-10M,52,1196,0.831716493,62192
YFCC-10M,53,1235,0.858837683,65455
YFCC-10M,54,1241,0.863010174,67014
YFCC-10M,55,1167,0.811549454,64185
YFCC-10M,56,1259,0.875527646,70504
YFCC-10M,57,1255,0.872745986,71535
YFCC-10M,58,1211,0.842147720,70238
YFCC-10M,59,1276,0.887349703,75284
YFCC-10M,60,1273,0.885263458,76380
YFCC-10M,61,1234,0.858142268,75274
YFCC-10M,62,1200,0.834498154,74400
YFCC-10M,63,1231,0.856056023,77553
YFCC-10M,64,1286,0.894303855,82304
YFCC-10M,65,1264,0.879004722,82160
YFCC-10M,66,1275,0.886654288,84150
YFCC-10M,67,1214,0.844233965,81338
YFCC-10M,68,1254,0.872050571,85272
YFCC-10M,69,1257,0.874136816,86733
YFCC-10M,70,1301,0.904735082,91070
YFCC-10M,71,1312,0.912384648,93152
YFCC-10M,72,1298,0.902648836,93456
YFCC-10M,73,1302,0.905430497,95046
YFCC-10M,74,1280,0.890131364,94720
YFCC-10M,75,1233,0.857446853,92475
YFCC-10M,76,1348,0.937419593,102448
YFCC-10M,77,1271,0.883872628,97867
YFCC-10M,78,1215,0.844929381,94770
YFCC-10M,79,1273,0.885263458,100567
YFCC-10M,80,1310,0.910993818,104800
YFCC-10M,81,1334,0.927683781,108054
YFCC-10M,82,1280,0.890131364,104960
YFCC-10M,83,1261,0.876918476,104663
YFCC-10M,84,1339,0.931160856,112476
YFCC-10M,85,1308,0.909602988,111180
YFCC-10M,86,1373,0.954804971,118078
YFCC-10M,87,1235,0.858837683,107445
YFCC-10M,88,1337,0.929770026,117656
YFCC-10M,89,1314,0.913775478,116946
YFCC-10M,90,1294,0.899867176,116460
YFCC-10M,91,1311,0.911689233,119301
YFCC-10M,92,1288,0.895694685,118496
YFCC-10M,93,1282,0.891522194,119226
YFCC-10M,94,1243,0.864401004,116842
YFCC-10M,95,1286,0.894303855,122170
YFCC-10M,96,1264,0.879004722,121344
YFCC-10M,97,1236,0.859533098,119892
YFCC-10M,98,1286,0.894303855,126028
YFCC-10M,99,1288,0.895694685,127512
YFCC-10M,100,1279,0.889435949,127900
YFCC-10M,101,1224,0.851188117,123624
YFCC-10M,102,1319,0.917252554,134538
YFCC-10M,103,1222,0.849797286,125866
YFCC-10M,104,1245,0.865791834,129480
YFCC-10M,105,1281,0.890826779,134505
YFCC-10M,106,1230,0.855360608,130380
YFCC-10M,107,1273,0.885263458,136211
YFCC-10M,108,1266,0.880395552,136728
YFCC-10M,109,1269,0.882481798,138321
YFCC-10M,110,1155,0.803204473,127050
YFCC-10M,111,1196,0.831716493,132756
YFCC-10M,112,1220,0.848406456,136640
YFCC-10M,113,1218,0.847015626,137634
YFCC-10M,114,1281,0.890826779,146034
YFCC-10M,115,1268,0.881786382,145820
YFCC-10M,116,1176,0.817808191,136416
YFCC-10M,117,1205,0.837975229,140985
YFCC-10M,118,1146,0.796945737,135228
YFCC-10M,119,1219,0.847711041,145061
YFCC-10M,120,1208,0.840061475,144960
YFCC-10M,121,1190,0.827544002,143990
YFCC-10M,122,1211,0.842147720,147742
YFCC-10M,123,1143,0.794859491,140589
YFCC-10M,124,1114,0.774692453,138136
YFCC-10M,125,1166,0.810854039,145750
YFCC-10M,126,1102,0.766347471,138852
YFCC-10M,127,1159,0.805986133,147193
YFCC-10M,128,1117,0.776778698,142976
